"","age","working_sector","financial_weight","qualification","years_of_education","tax_paid","loan_taken","marital_status","occupation","relationship","ethnicity","gender","gain","loss","working_hours","country","target"
"801",32,"Employed",110331," HS-grad",9,7215.8426903188,"0","Married","managerial"," Husband"," White"," Male",0,1672,60," United-States","0"
"802",57,"Employed",34269," HS-grad",9,7726.2798957527,"0","Un_married","transport"," Unmarried"," White"," Male",0,653,42," United-States","1"
"803",62,"Employed",174355," HS-grad",9,6529.7908801585,"0","Un_married","other"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"804",39,"Employed",680390," HS-grad",9,6591.8182879686,"0","Un_married","inspector"," Unmarried"," White"," Female",0,0,24," United-States","0"
"805",43,"Employed",233130," Some-college",10,5928.6660254002,"0","Un_married","clerical"," Not-in-family"," White"," Male",0,0,25," United-States","0"
"806",24,"Employed",165474," Bachelors",13,6695.8196302876,"0","Un_married","sales"," Own-child"," White"," Male",0,0,40," United-States","0"
"808",53,"Employed",194259," Some-college",10,5949.4429752231,"0","Married","clerical"," Wife"," White"," Female",4386,0,40," United-States","1"
"809",26,"Employed",280093," Some-college",10,8151.2605547905,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,40," United-States","0"
"810",73,"Employed",177387," HS-grad",9,7616.2658315152,"0","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","0"
"812",55,"Employed",105304," HS-grad",9,7779.8601724207,"0","Married","inspector"," Husband"," White"," Male",0,0,40," United-States","0"
"813",41,"Employed",180572," Bachelors",13,7514.9931190535,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,50," United-States","1"
"814",24,"Employed",321435," Bachelors",13,7950.3068011254,"0","Un_married","managerial"," Not-in-family"," White"," Male",0,0,50," United-States","0"
"815",63,"Employed",86108," HS-grad",9,5668.6596795917,"0","Un_married","farming"," Not-in-family"," White"," Male",0,0,6," United-States","0"
"816",17,"Employed",198124," 11th",7,6527.8088031337,"0","Un_married","sales"," Own-child"," White"," Male",0,0,20," United-States","0"
"817",35,"Employed",135162," Some-college",10,8447.2562391311,"0","Married","repair"," Husband"," White"," Male",0,0,50," United-States","0"
"818",51,"Employed",146813," Some-college",10,6031.0252103955,"0","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"819",55,"Employed",387569," HS-grad",9,8334.7092745826,"0","Married","repair"," Husband"," White"," Male",4386,0,40," United-States","1"
"820",43,"Employed",102895," Some-college",10,8595.6536913291,"0","Un_married","specialty"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"821",40,"Gov",33274," HS-grad",9,5272.6670261473,"0","Un_married","other"," Not-in-family"," White"," Female",0,0,50," United-States","0"
"822",37,"Employed",86551," Bachelors",13,8042.9182006046,"0","Married","managerial"," Husband"," White"," Male",0,0,45," United-States","1"
"823",39,"Employed",138192," Bachelors",13,5393.4055222198,"0","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"824",31,"Employed",118966," HS-grad",9,7334.1803457588,"0","Un_married","repair"," Own-child"," White"," Male",0,0,18," United-States","0"
"825",61,"Employed",99784," Masters",14,8358.2786219195,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,40," United-States","1"
"826",26,"Employed",90980," Assoc-voc",11,6280.6713553146,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,55," United-States","0"
"827",46,"Employed",177407," HS-grad",9,5244.5794874802,"0","Married","sales"," Husband"," White"," Male",0,0,50," United-States","0"
"828",26,"Employed",96467," Bachelors",13,8928.5401050001,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"829",48,"Gov",327886," Doctorate",16,5494.4857768714,"0","Un_married","specialty"," Own-child"," White"," Male",0,0,50," United-States","1"
"832",59,"Employed",142182," HS-grad",9,9978.4261789173,"1","Married","other"," Husband"," White"," Male",0,0,40," United-States","1"
"894",42,"Employed",274198," 5th-6th",3,8101.6381047666,"1","Married","inspector"," Wife"," White"," Female",0,0,38," Mexico","0"
"923",51,"Employed",269080," 7th-8th",4,9968.4315547347,"1","Un_married","other"," Unmarried"," Black"," Female",0,0,40," United-States","0"
"935",28,"Employed",57066," HS-grad",9,8290.8039987087,"1","Married","transport"," Husband"," White"," Male",0,0,40," United-States","0"
"944",37,"Employed",200153," HS-grad",9,6716.3852415979,"1","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"945",25,"Employed",178326," Some-college",10,6717.3852415979,"0","Un_married","sales"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"946",21,"Employed",255957," Some-college",10,6718.3852415979,"0","Un_married","managerial"," Not-in-family"," White"," Female",4101,0,40," United-States","0"
"947",40,"Gov",188693," Masters",14,6719.3852415979,"0","Married","specialty"," Husband"," White"," Male",0,0,35," United-States","1"
"948",78,"Employed",182977," HS-grad",9,6720.3852415979,"0","Un_married","other"," Not-in-family"," Black"," Female",2964,0,40," United-States","0"
"949",34,"Employed",159929," HS-grad",9,6721.3852415979,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,40," United-States","0"
"950",49,"Employed",123207," HS-grad",9,6722.3852415979,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,44," United-States","0"
"951",22,"Employed",284317," Assoc-acdm",12,6723.3852415979,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"1031",34,"Employed",157886," Assoc-acdm",12,6335.7678931207,"1","Un_married","other"," Unmarried"," White"," Female",0,0,40," United-States","0"
"1082",58,"Gov",205267," Bachelors",13,8352.0046528429,"1","Married","specialty"," Wife"," White"," Female",0,0,40," United-States","1"
"1110",61,"Employed",84409," HS-grad",9,8082.6003598049,"0","Married","managerial"," Husband"," White"," Male",0,0,35," United-States","1"
"1111",50,"Employed",293196," HS-grad",9,5530.0952838734,"0","Married","managerial"," Husband"," White"," Male",7298,0,40," United-States","1"
"1112",25,"Employed",241626," HS-grad",9,6538.9295313507,"0","Un_married","other"," Own-child"," White"," Male",0,0,30," United-States","0"
"1113",40,"Employed",520586," Some-college",10,5829.7042064369,"0","Un_married","clerical"," Unmarried"," White"," Female",0,0,39," United-States","0"
"1115",51,"Employed",302847," HS-grad",9,8816.0290149972,"0","Married","repair"," Husband"," White"," Male",0,0,54," United-States","0"
"1116",43,"Gov",165309," HS-grad",9,5039.7001514211,"0","Married","guard"," Husband"," White"," Male",0,0,40," United-States","0"
"1117",34,"Employed",117529," Some-college",10,5414.7246042267,"0","Married","farming"," Husband"," White"," Male",0,0,54," Mexico","0"
"1118",46,"Employed",106092," HS-grad",9,7009.6030775458,"0","Married","managerial"," Husband"," White"," Male",0,0,45," United-States","1"
"1119",28,"Gov",445824," Masters",14,7621.8488765881,"0","Married","specialty"," Wife"," White"," Female",0,0,50," United-States","1"
"1121",20,"Employed",275691," HS-grad",9,8658.3432173356,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,28," United-States","0"
"1122",44,"Employed",193459," Assoc-voc",11,6243.3827575296,"0","Married","repair"," Husband"," White"," Male",3411,0,40," United-States","0"
"1123",51,"Employed",284329," HS-grad",9,8225.9878385812,"0","Un_married","transport"," Unmarried"," White"," Male",0,0,40," United-States","0"
"1124",54,"Employed",96062," Assoc-acdm",12,6189.1117179766,"0","Married","support"," Husband"," White"," Male",0,0,40," United-States","1"
"1125",50,"Employed",133963," Bachelors",13,6031.4533505589,"0","Married","specialty"," Wife"," White"," Female",0,1977,40," United-States","1"
"1126",33,"Employed",178506," HS-grad",9,8982.8850543127,"0","Un_married","clerical"," Not-in-family"," Black"," Female",0,0,40," United-States","0"
"1128",88,"Employed",206291," Prof-school",15,8565.0597326458,"0","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","0"
"1129",40,"Employed",182302," HS-grad",9,5486.020244658,"0","Un_married","transport"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"1130",51,"Employed",241346," HS-grad",9,5129.5385407284,"0","Un_married","clerical"," Not-in-family"," White"," Female",0,0,43," United-States","0"
"1131",50,"Employed",157043," 11th",7,7897.8690188378,"0","Un_married","other"," Not-in-family"," Black"," Female",0,0,40," United-States","0"
"1132",25,"Employed",404616," Masters",14,7104.8493403941,"0","Married","farming"," Not-in-family"," White"," Male",0,0,99," United-States","1"
"1133",20,"Employed",411862," Assoc-voc",11,8016.2649359554,"0","Un_married","other"," Not-in-family"," White"," Male",0,0,30," United-States","0"
"1134",47,"Employed",183013," HS-grad",9,5723.5610680655,"0","Married","other"," Husband"," White"," Male",0,0,40," United-States","0"
"1159",45,"Gov",320818," HS-grad",9,2666.2559639663,"1","Married","clerical"," Husband"," Black"," Male",0,0,80," United-States","1"
"1181",53,"Employed",22154," Some-college",10,3292.7418872714,"1","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"1244",57,"Employed",182062," 10th",6,5979.268245399,"1","Married","other"," Husband"," White"," Male",0,0,40," United-States","0"
"1259",58,"Employed",186791," Some-college",10,3923.6916806549,"1","Married","transport"," Wife"," White"," Female",0,0,40," United-States","1"
"1276",48,"Employed",55237," Bachelors",13,6474.1202555597,"1","Married","repair"," Husband"," White"," Male",0,0,45," United-States","1"
"1277",61,"Gov",101265," HS-grad",9,8089.6816775203,"1","Un_married","clerical"," Unmarried"," White"," Female",1471,0,35," United-States","0"
"1299",59,"Gov",105363," HS-grad",9,5481.4849756658,"1","Un_married","clerical"," Own-child"," White"," Male",0,0,40," United-States","0"
"1311",61,"Employed",30073," HS-grad",9,6701.560176909,"1","Married","farming"," Husband"," White"," Male",0,1848,60," United-States","1"
"1343",40,"Employed",266324," Some-college",10,9365.7948393375,"1","Un_married","managerial"," Other-relative"," White"," Male",0,1564,70," Iran","1"
"1368",39,"Employed",24342," Bachelors",13,2071.5019535273,"1","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"1384",19,"Employed",213644," HS-grad",9,4027.4088196456,"1","Un_married","inspector"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"1388",32,"Employed",180871," Assoc-voc",11,7504.0135551244,"1","Un_married","sales"," Not-in-family"," White"," Male",0,0,50," United-States","1"
"1403",51,"Employed",185283," Some-college",10,9476.9545830786,"1","Married","managerial"," Husband"," White"," Male",0,0,45," United-States","1"
"1423",40,"Employed",228535," Assoc-acdm",12,6587.4628368765,"1","Married","specialty"," Husband"," White"," Male",7298,0,36," United-States","1"
"1454",49,"Employed",50282," Some-college",10,6102.3529786617,"1","Un_married","inspector"," Not-in-family"," White"," Male",3325,0,45," United-States","0"
"1464",37,"Employed",217054," Bachelors",13,3589.0147294849,"1","Married","specialty"," Husband"," White"," Male",0,0,35," United-States","1"
"1465",66,"Employed",298834," Assoc-voc",11,8478.0304506421,"1","Married","specialty"," Husband"," White"," Male",0,0,50," United-States","0"
"1477",20,"Employed",231286," Some-college",10,2080.6465502828,"1","Un_married","cleaner"," Not-in-family"," Black"," Male",0,0,15," United-States","0"
"1519",33,"Employed",78707," 11th",7,9305.8281186968,"1","Un_married","other"," Not-in-family"," Black"," Male",0,0,40," United-States","0"
"1535",39,"Employed",128715," HS-grad",9,2848.978959024,"1","Un_married","clerical"," Not-in-family"," White"," Male",10520,0,40," United-States","1"
"1537",40,"Employed",103395," Some-college",10,7314.6392982453,"1","Married","repair"," Husband"," White"," Male",0,0,45," United-States","1"
"1564",45,"Employed",46406," Masters",14,8451.5244346112,"1","Married","specialty"," Husband"," White"," Male",0,0,36," England","1"
"1573",37,"Employed",70240," HS-grad",9,3193.093104288,"1","Un_married","other"," Own-child"," Asian-Pac-Islander"," Female",0,0,40," Philippines","0"
"1574",44,"Employed",147206," Some-college",10,3486.3526076078,"1","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","0"
"1577",51,"Employed",126010," HS-grad",9,4175.6141297519,"1","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"1589",34,"Employed",175761," Bachelors",13,2542.6117721945,"1","Married","specialty"," Husband"," White"," Male",0,0,60," United-States","1"
"1590",54,"Employed",206369," HS-grad",9,9688.4590703994,"1","Married","inspector"," Husband"," White"," Male",5178,0,50," United-States","1"
"1638",53,"Employed",117496," 9th",5,4962.4605365098,"1","Un_married","other"," Not-in-family"," White"," Female",0,0,36," Canada","0"
"1673",40,"Gov",218995," Some-college",10,9449.8066771776,"1","Married","managerial"," Husband"," White"," Male",0,0,42," United-States","1"
"1675",44,"Employed",303521," Some-college",10,7875.8162315935,"1","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"1693",32,"Employed",496743," Bachelors",13,5837.1804039925,"1","Un_married","specialty"," Own-child"," White"," Male",0,0,40," United-States","0"
"1740",31,"Employed",53042," Some-college",10,5367.089221254,"1","Married","inspector"," Husband"," Black"," Male",0,0,40," Trinadad&Tobago","0"
"1746",28,"Employed",186792," Bachelors",13,9054.1908647865,"1","Married","clerical"," Husband"," White"," Male",0,0,40," United-States","0"
"1772",22,"Employed",202920," HS-grad",9,9415.4289010912,"1","Un_married","specialty"," Unmarried"," White"," Female",99999,0,40," Dominican-Republic","1"
"1828",27,"Gov",508336," Bachelors",13,7399.8465072364,"1","Un_married","managerial"," Not-in-family"," Black"," Male",0,0,48," United-States","0"
"1848",26,"Employed",270276," HS-grad",9,5711.2416159362,"1","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"1860",42,"Gov",121718," Masters",14,2440.3254482895,"1","Married","managerial"," Husband"," White"," Male",0,1902,60," United-States","1"
"1871",20,"Employed",164922," HS-grad",9,9147.5024949759,"1","Un_married","repair"," Own-child"," White"," Male",0,0,40," United-States","0"
"1878",90,"Employed",221832," Bachelors",13,6461.6470746696,"1","Married","managerial"," Husband"," White"," Male",0,0,45," United-States","0"
"1932",47,"Employed",363418," Some-college",10,2955.4944597185,"1","Un_married","sales"," Not-in-family"," White"," Male",0,0,70," United-States","1"
"1949",31,"Employed",331065," Bachelors",13,8817.1336241067,"1","Un_married","managerial"," Not-in-family"," White"," Female",0,1408,40," United-States","0"
"1950",23,"Employed",161708," Some-college",10,7646.6306690127,"1","Un_married","other"," Own-child"," White"," Female",0,0,20," United-States","0"
"1957",23,"Employed",193089," 11th",7,2528.7229996175,"1","Un_married","repair"," Own-child"," White"," Male",0,0,40," United-States","0"
"1965",35,"Employed",154410," HS-grad",9,4582.9299725592,"1","Un_married","cleaner"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"1982",53,"Employed",274528," Bachelors",13,9467.577373609,"1","Un_married","managerial"," Not-in-family"," White"," Male",0,0,70," United-States","0"
"1988",22,"Employed",188569," Some-college",10,6545.1555475593,"1","Un_married","clerical"," Not-in-family"," White"," Female",0,0,20," United-States","0"
"2007",34,"Employed",204991," Some-college",10,8731.1195097864,"1","Un_married","managerial"," Own-child"," White"," Male",0,0,44," United-States","0"
"2012",51,"Employed",161482," HS-grad",9,6221.608210355,"1","Un_married","other"," Unmarried"," White"," Female",0,0,38," United-States","0"
"2025",37,"Employed",123211," HS-grad",9,6221.9664696604,"1","Married","other"," Husband"," White"," Male",0,0,44," United-States","1"
"2100",47,"Employed",298130," HS-grad",9,9966.4928857237,"1","Married","sales"," Husband"," White"," Male",0,0,40," United-States","0"
"2128",32,"Employed",157287," Bachelors",13,8200.586790219,"1","Married","sales"," Husband"," White"," Male",0,0,40," United-States","0"
"2159",23,"Gov",235853," Bachelors",13,3246.7959709466,"1","Un_married","support"," Not-in-family"," White"," Male",0,0,22," United-States","0"
"2244",40,"Employed",29841," Bachelors",13,5545.1171789318,"1","Married","clerical"," Wife"," White"," Female",0,0,40," United-States","0"
"2261",23,"Employed",282604," 11th",7,4875.4625339061,"1","Married","transport"," Husband"," White"," Male",7688,0,60," United-States","1"
"2313",56,"Employed",211804," Bachelors",13,9403.1898342073,"1","Married","sales"," Husband"," White"," Male",15024,0,50," United-States","1"
"2369",54,"Gov",137678," Some-college",10,9005.5026486516,"1","Un_married","clerical"," Unmarried"," White"," Female",0,0,40," United-States","0"
"2385",29,"Gov",180916," Some-college",10,6658.7198283523,"1","Un_married","clerical"," Unmarried"," White"," Female",0,0,38," United-States","0"
"2388",26,"Employed",284343," Assoc-acdm",12,4336.9170632213,"1","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"2407",41,"Employed",195897," Some-college",10,9717.5870314241,"1","Married","sales"," Husband"," White"," Male",0,0,50," United-States","0"
"2411",40,"Employed",185145," Doctorate",16,9987.7345561981,"1","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"2426",60,"Employed",162947," 5th-6th",3,7984.8098549992,"1","Un_married","inspector"," Not-in-family"," White"," Female",0,0,40," Puerto-Rico","0"
"2436",29,"Employed",490332," Some-college",10,6150.9164236486,"1","Married","transport"," Husband"," White"," Male",0,0,45," United-States","1"
"2438",25,"Employed",374918," 12th",8,9199.9394744635,"1","Married","other"," Wife"," White"," Female",0,0,40," United-States","0"
"2446",65,"Employed",174056," 7th-8th",4,6304.1799478233,"1","Married","inspector"," Husband"," White"," Male",0,0,40," United-States","0"
"2455",34,"Employed",111985," HS-grad",9,2651.0062720627,"1","Married","repair"," Husband"," White"," Male",0,0,50," United-States","0"
"2544",52,"Gov",30731," HS-grad",9,9445.6293471158,"1","Married","managerial"," Husband"," White"," Male",7298,0,40," United-States","1"
"2571",19,"Employed",115248," Some-college",10,9826.3762127608,"1","Un_married","clerical"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," Vietnam","0"
"2605",42,"Employed",154374," Bachelors",13,8891.3903273642,"1","Married","transport"," Husband"," White"," Male",0,0,58," United-States","0"
"2613",18,"Employed",57413," Some-college",10,7040.7429151237,"1","Un_married","other"," Own-child"," White"," Male",0,0,15," United-States","0"
"2645",19,"Employed",87653," Some-college",10,6287.6591626555,"1","Un_married","other"," Own-child"," White"," Female",0,0,25," United-States","0"
"2666",47,"Employed",122026," Assoc-voc",11,3203.6983966827,"1","Un_married","sales"," Not-in-family"," White"," Male",0,0,50," United-States","0"
"2671",24,"Employed",211345," Some-college",10,5748.7586475909,"1","Un_married","other"," Own-child"," White"," Female",0,0,40," Mexico","0"
"2672",43,"Gov",147328," Masters",14,6171.6065462679,"1","Married","managerial"," Husband"," White"," Male",0,1977,60," United-States","1"
"2674",40,"Employed",225978," Some-college",10,7770.1468076557,"1","Un_married","managerial"," Not-in-family"," Black"," Male",0,0,40," United-States","0"
"2690",55,"Employed",144071," Bachelors",13,7112.4644968659,"1","Married","support"," Husband"," White"," Male",0,0,18," United-States","1"
"2702",30,"Employed",255885," Some-college",10,7855.179015547,"1","Married","sales"," Husband"," White"," Male",0,0,50," United-States","0"
"2706",55,"Employed",92215," HS-grad",9,9817.03742221,"1","Un_married","clerical"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"2717",35,"Employed",190895," Some-college",10,2993.6129245907,"1","Married","specialty"," Husband"," White"," Male",0,0,60," United-States","0"
"2782",28,"Employed",335357," HS-grad",9,8811.7275908589,"1","Un_married","cleaner"," Own-child"," Black"," Male",0,0,40," United-States","0"
"2797",71,"Employed",235079," Preschool",1,7564.5643528551,"1","Un_married","repair"," Unmarried"," Black"," Male",0,0,10," United-States","0"
"2816",53,"Employed",358056," 11th",7,5813.3032657206,"1","Un_married","other"," Unmarried"," White"," Female",0,0,40," United-States","0"
"2827",38,"Employed",37028," Some-college",10,4992.6200546324,"1","Un_married","sales"," Unmarried"," White"," Female",0,0,38," United-States","0"
"2868",49,"Gov",288548," Masters",14,6861.1116297543,"1","Un_married","specialty"," Unmarried"," White"," Female",0,0,50," United-States","0"
"2875",27,"Employed",193701," HS-grad",9,6730.9717983007,"1","Un_married","repair"," Own-child"," White"," Female",0,0,45," United-States","0"
"2917",49,"Employed",44434," Some-college",10,6689.0936810523,"1","Un_married","support"," Other-relative"," White"," Male",0,0,35," United-States","0"
"2930",51,"Gov",172962," Doctorate",16,7418.2632490993,"1","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","1"
"2941",31,"Employed",327825," HS-grad",9,4305.5890016258,"1","Un_married","inspector"," Unmarried"," White"," Female",0,2238,40," United-States","0"
"2988",35,"Employed",144322," HS-grad",9,7988.6489976198,"1","Un_married","inspector"," Unmarried"," White"," Female",0,0,40," United-States","0"
"3019",20,"Employed",168165," Some-college",10,8264.0692014247,"1","Un_married","other"," Own-child"," White"," Male",0,0,30," United-States","0"
"3090",59,"Employed",374924," HS-grad",9,5996.8757200986,"1","Un_married","sales"," Unmarried"," Black"," Female",0,0,40," United-States","0"
"3160",45,"Employed",189890," Assoc-acdm",12,4035.4591682553,"1","Un_married","specialty"," Unmarried"," White"," Female",5455,0,38," United-States","0"
"3196",22,"Employed",51136," Some-college",10,3922.3599582911,"1","Un_married","support"," Not-in-family"," White"," Female",0,0,60," United-States","0"
"3222",37,"Employed",189922," Assoc-acdm",12,8761.2049654126,"1","Married","support"," Husband"," White"," Male",0,0,50," United-States","1"
"3224",43,"Employed",111252," Some-college",10,3365.0968875736,"1","Married","transport"," Husband"," White"," Male",0,0,42," United-States","0"
"3230",59,"Employed",114032," Bachelors",13,8691.8704789132,"1","Un_married","clerical"," Unmarried"," White"," Female",0,0,40," United-States","0"
"3242",57,"Gov",268252," HS-grad",9,8095.9805175662,"1","Un_married","clerical"," Unmarried"," White"," Female",0,0,62," United-States","0"
"3261",57,"Employed",42959," Bachelors",13,2505.7467911393,"1","Married","sales"," Wife"," White"," Female",0,0,40," United-States","1"
"3295",61,"Employed",156542," Prof-school",15,2113.5571096093,"1","Un_married","specialty"," Not-in-family"," White"," Male",0,0,40," United-States","1"
"3314",39,"Gov",305597," HS-grad",9,5643.8381392509,"1","Un_married","managerial"," Unmarried"," White"," Male",0,0,40," United-States","0"
"3316",46,"Gov",192779," Bachelors",13,9315.7481905073,"1","Married","managerial"," Husband"," White"," Male",7688,0,40," United-States","1"
"3323",23,"Employed",308205," Assoc-acdm",12,9322.5991651416,"1","Un_married","other"," Own-child"," White"," Male",0,0,20," United-States","0"
"3329",17,"Employed",139183," 10th",6,4612.2328676283,"1","Un_married","sales"," Own-child"," White"," Female",0,0,15," United-States","0"
"3333",50,"Employed",93690," HS-grad",9,2326.460449025,"1","Married","transport"," Husband"," White"," Male",0,0,40," United-States","1"
"3344",33,"Employed",239781," Preschool",1,5543.8767094165,"1","Married","farming"," Husband"," White"," Male",0,0,40," Mexico","0"
"3429",21,"Employed",300812," Some-college",10,5966.829277575,"1","Un_married","other"," Own-child"," White"," Male",0,0,25," United-States","0"
"3464",35,"Employed",230054," 7th-8th",4,5548.2852738351,"1","Married","inspector"," Husband"," White"," Male",0,0,40," Mexico","0"
"3479",28,"Employed",50814," HS-grad",9,3234.0372372419,"1","Un_married","specialty"," Not-in-family"," White"," Female",0,0,40," United-States","0"
"3517",35,"Employed",236910," Bachelors",13,6073.3979679644,"1","Married","managerial"," Husband"," White"," Male",0,0,60," United-States","0"
"3544",31,"Employed",286675," HS-grad",9,6179.961271584,"1","Un_married","repair"," Own-child"," White"," Male",0,0,50," United-States","0"
"3549",21,"Employed",342575," Some-college",10,2173.0492655188,"1","Un_married","sales"," Own-child"," Black"," Female",0,0,30," United-States","0"
"3554",62,"Employed",171315," Bachelors",13,3830.2502054721,"1","Married","specialty"," Husband"," White"," Male",0,0,60," United-States","1"
"3571",20,"Employed",291979," HS-grad",9,6967.1972114593,"1","Un_married","sales"," Own-child"," White"," Male",0,0,40," United-States","0"
"3578",30,"Employed",306383," Some-college",10,4252.274427563,"1","Un_married","cleaner"," Not-in-family"," White"," Male",0,0,50," United-States","0"
"3590",53,"Employed",123429," Some-college",10,5983.2163210958,"1","Married","managerial"," Husband"," White"," Male",0,0,60," United-States","1"
"3621",18,"Employed",148644," HS-grad",9,3875.1561362296,"1","Un_married","sales"," Own-child"," White"," Female",0,0,28," United-States","0"
"3655",28,"Employed",209109," Bachelors",13,2518.9461950213,"1","Married","other"," Husband"," White"," Male",0,0,50," United-States","0"
"3669",33,"Employed",131568," HS-grad",9,5636.1995339394,"1","Married","sales"," Husband"," White"," Male",0,0,66," United-States","0"
"3678",19,"Employed",52372," Some-college",10,6945.2981706709,"1","Un_married","other"," Own-child"," White"," Male",0,0,20," United-States","0"
"3680",53,"Employed",137428," 7th-8th",4,7227.7342770249,"1","Married","transport"," Husband"," White"," Male",0,0,60," United-States","1"
"3696",26,"Gov",70447," HS-grad",9,4507.8102890402,"1","Married","guard"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States","1"
"3714",48,"Employed",202467," Bachelors",13,9931.4082879573,"1","Married","specialty"," Husband"," White"," Male",0,1485,40," United-States","1"
"3719",52,"Employed",90363," Prof-school",15,6829.9222160131,"1","Married","specialty"," Husband"," White"," Male",99999,0,35," United-States","1"
"3735",20,"Employed",189888," 12th",8,5265.8769208938,"1","Un_married","other"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"3741",48,"Employed",316101," HS-grad",9,7259.2818439007,"1","Un_married","managerial"," Unmarried"," White"," Female",0,0,40," United-States","0"
"3763",51,"Employed",254230," Some-college",10,4260.6460805982,"1","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","1"
"3779",29,"Gov",95393," HS-grad",9,5937.6966953278,"1","Un_married","other"," Own-child"," White"," Male",0,0,20," United-States","0"
"3789",28,"Employed",199566," Bachelors",13,2655.6337140501,"1","Married","other"," Husband"," Black"," Male",0,0,40," United-States","0"
"3791",48,"Employed",185039," HS-grad",9,4860.1928222925,"1","Un_married","sales"," Unmarried"," White"," Female",0,0,30," United-States","0"
"3801",72,"Employed",53684," Some-college",10,6503.1014457345,"1","Married","guard"," Husband"," Black"," Male",0,0,40," United-States","0"
"3808",53,"Employed",201127," Masters",14,2665.7839603722,"1","Married","managerial"," Husband"," White"," Male",0,0,48," United-States","1"
"3811",20,"Employed",400443," HS-grad",9,3096.109636128,"1","Un_married","sales"," Own-child"," White"," Female",0,0,20," United-States","0"
"3837",42,"Employed",44121," Masters",14,8774.1839401424,"1","Un_married","specialty"," Not-in-family"," White"," Female",0,1876,40," United-States","0"
"3843",30,"Employed",207253," Assoc-voc",11,8739.4480425865,"1","Married","repair"," Husband"," White"," Male",0,0,40," England","0"
"3850",44,"Gov",296326," Bachelors",13,3766.6711974889,"1","Un_married","clerical"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"3862",64,"Gov",550848," 10th",6,6352.4086605758,"1","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","1"
"3878",28,"Employed",124905," 7th-8th",4,3056.0967884958,"1","Married","repair"," Husband"," White"," Male",0,0,30," United-States","0"
"3904",20,"Employed",34706," Some-college",10,9934.6606470645,"1","Un_married","managerial"," Not-in-family"," Black"," Male",0,0,47," United-States","0"
"3924",51,"Employed",240358," Some-college",10,6711.223974824,"1","Married","repair"," Husband"," White"," Male",0,0,20," United-States","0"
"3926",44,"Employed",101593," Bachelors",13,4628.2964590937,"1","Married","sales"," Husband"," White"," Male",0,0,60," United-States","0"
"3937",28,"Employed",210867," 11th",7,3467.5549026579,"1","Un_married","sales"," Own-child"," White"," Male",0,0,40," United-States","0"
"3944",25,"Employed",111058," Assoc-acdm",12,6789.2289049923,"1","Un_married","managerial"," Own-child"," White"," Male",0,0,40," United-States","0"
"3954",19,"Employed",387215," Some-college",10,2400.5797207356,"1","Un_married","support"," Own-child"," White"," Male",0,1719,16," United-States","0"
"3990",34,"Employed",275438," Some-college",10,4173.9785801619,"1","Married","specialty"," Husband"," White"," Male",5178,0,40," United-States","1"
"4070",76,"Employed",120796," 9th",5,3999.1269689053,"1","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","0"
"4072",26,"Employed",229523," HS-grad",9,7906.6192824394,"1","Married","inspector"," Wife"," White"," Female",0,0,56," United-States","0"
"4095",41,"Employed",125461," Some-college",10,6944.5326458663,"1","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","1"
